osm_id,unity_world_x,unity_world_z,altura_m,nombre
784797090,2441.442,8889.424,6.4,
784797091,2416.712,8891.787,6.4,
784797093,2347.905,8761.68,6.4,
784797095,2168.796,8855.529,6.4,
784797096,2112.745,8820.042,6.4,
784797097,2141.843,8774.159,6.4,
784797098,2110.914,8793.737,6.4,
784797099,2086.3,8612.445,6.4,
784797100,1701.803,8543.791,6.4,
784797102,2018.34,7956.097,6.4,
882508253,835.778,7437.693,6.4,
882508262,533.298,8342.645,6.4,
1188336569,611.805,8438.319,6.4,
1225594662,597.596,8713.174,6.4,
1225594663,525.37,8703.706,6.4,
1225594664,548.601,8676.549,6.4,
1225594665,553.118,9046.849,6.4,
1225594666,654.372,8987.726,6.4,
1225594667,651.491,8868.884,6.4,
1225594668,624.852,8563.126,6.4,
1225594672,919.481,9853.604,6.4,
1225594673,917.656,9898.839,6.4,
1225594674,986.377,9850.6,6.4,
1225594678,946.116,9163.251,6.4,
1225734361,474.986,8755.014,6.4,
1225734362,469.008,8651.102,6.4,
1225734363,520.013,8631.961,6.4,
1225734367,579.646,8963.249,6.4,
1225734368,566.033,8978.712,6.4,
1225734369,589.011,8936.933,6.4,
1225734370,598.75,8917.134,6.4,
1225734371,671.246,8917.263,6.4,
1225734379,503.121,8862.617,6.4,
1225734380,590.172,8827.513,6.4,
1225734381,667.91,8803.84,6.4,
1225734382,723.227,8740.27,6.4,
1225734383,770.483,8711.071,6.4,
1225734384,737.676,8758.167,6.4,
1225734385,683.386,8930.698,6.4,
1225734386,781.565,8604.838,6.4,
1225734387,800.176,8603.548,6.4,
1225734388,815.714,8602.46,6.4,
1225734389,868.719,8554.219,6.4,
1225734391,823.255,8565.974,6.4,
1225734392,1008.974,8527.469,6.4,
1225734393,1007.169,8382.334,6.4,
1225734394,893.289,8192.533,6.4,
1225734395,877.183,8263.892,6.4,
1225734397,930.9,8425.171,6.4,
1225734398,970.321,8409.817,6.4,
1225734399,1091.383,8471.168,6.4,
1225734400,1149.604,8456.005,6.4,
1225734401,1161.953,8465.418,6.4,
1225734402,1036.635,8655.061,6.4,
1225734403,990.574,8645.086,6.4,
1225734404,887.526,8623.283,6.4,
1225734405,821.633,8496.6,6.4,
1225734406,1207.587,8817.922,6.4,
1225734407,1125.857,9113.716,6.4,
1225734408,1137.909,9082.055,6.4,
1225734409,1211.099,9081.885,6.4,
1225734410,1148.372,9157.367,6.4,
1225734412,1207.142,9208.736,6.4,
1225734413,973.267,9299.685,6.4,
1225734414,1214.781,9286.828,6.4,
1225734416,1107.134,9194.292,6.4,
1225734417,1031.551,9267.024,6.4,
1225734418,1033.122,9249.106,6.4,
1225734419,1049.947,9257.486,6.4,
1225734420,1063.031,9284.624,6.4,
1225734421,1078.704,9279.515,6.4,
1225734422,1015.985,9338.232,6.4,
1225734423,1044.279,9334.868,6.4,
1225734424,1069.747,9340.547,6.4,
1225734425,1070.728,9318.165,6.4,
1225734429,1139.199,9299.949,6.4,
1225734430,919.254,9979.02,6.4,
1225734431,1000.878,10121.2,6.4,
1225734432,1056.463,10084.54,6.4,
1225734433,1442.343,8837.742,6.4,
1225734435,1363.305,8857.476,6.4,
1225734436,1399.523,8845.329,6.4,
1225734437,1464.755,9295.58,6.4,
1225734438,1497.282,9299.228,6.4,
1225734439,1402.191,9319.412,6.4,
